"branch_name","protected","has_open_pr","open_pr_number","open_pr_title","merged_to_main","lifecycle","reason"
"auto/aso-x-20260626-063732","False","False",,,"False","archive","unprotected work branch not yet confirmed obsolete"
"cp003-b-integration-planning","False","False",,,"False","archive","unprotected work branch not yet confirmed obsolete"
"docs/governance-state-f14321d","False","False",,,"False","archive","unprotected work branch not yet confirmed obsolete"
"feature/aso-x-intelligence-core-v1.2","False","False",,,"False","archive","unprotected work branch not yet confirmed obsolete"
"fix/guard-runtime-refs-clean","False","False",,,"False","archive","unprotected work branch not yet confirmed obsolete"
"governance/mcp03-successor-formalization","False","False",,,"True","archive","historical governance or release branch already merged"
"main-clean","False","False",,,"False","archive","manual owner review needed"
"review/final-verified-change","False","False",,,"False","archive","unprotected work branch not yet confirmed obsolete"
"work/roadmap-metadata-coverage","False","False",,,"False","archive","unprotected work branch not yet confirmed obsolete"
"governance/authority-reconciliation-single-voice","False","False",,,"False","keep","named governance or release branch"
"main","True","False",,,,"keep","primary protected branch"
"phase11-readiness","False","False",,,"False","keep","named governance or release branch"
"phase14-governance-integration-implementation","False","False",,,"False","keep","named governance or release branch"
"phase16-core-governance-integration","False","False",,,"False","keep","named governance or release branch"
"phase17-controlled-development","False","False",,,"False","keep","named governance or release branch"
"phase17-working-snapshot-20260614","False","False",,,"False","keep","named governance or release branch"
"release/v3.2.1-evidence-ledger-repair","False","False",,,"False","keep","named governance or release branch"
