file,pattern,count
"11029.py","AITrader",6
"11029.py","autonomous_ai",4
"11029.py","DAILY_RISK_LIMIT",1
"11029.py","drawdown",215
"11029.py","gate",200
"11029.py","kill",187
"11029.py","MACRO_EXTREME_OFF_TH",2
"11029.py","risk",896
"11029.py","safety",234
"11029.py","WEEKLY_RISK_LIMIT",1
"MY_S43_LATEST.py","_ai_trader",4
"MY_S43_LATEST.py","AI_TRADER_ENABLE",1
"MY_S43_LATEST.py","AITrader",1
"MY_S43_LATEST.py","autonomous_ai",14
"MY_S43_LATEST.py","drawdown",9
"MY_S43_LATEST.py","gate",43
"MY_S43_LATEST.py","kill",4
"MY_S43_LATEST.py","OPENAI_TRADE_ALLOW_ND",1
"MY_S43_LATEST.py","OPENAI_TRADE_ENABLE",1
"MY_S43_LATEST.py","risk",225
"MY_S43_LATEST.py","safety",12
"s43_instrumented_LATEST.py","_ai_trader",4
"s43_instrumented_LATEST.py","AI_TRADER_ENABLE",1
"s43_instrumented_LATEST.py","AITrader",1
"s43_instrumented_LATEST.py","autonomous_ai",14
"s43_instrumented_LATEST.py","drawdown",9
"s43_instrumented_LATEST.py","gate",43
"s43_instrumented_LATEST.py","kill",4
"s43_instrumented_LATEST.py","OPENAI_TRADE_ALLOW_ND",1
"s43_instrumented_LATEST.py","OPENAI_TRADE_ENABLE",1
"s43_instrumented_LATEST.py","risk",225
"s43_instrumented_LATEST.py","safety",12
"s43_latest_refactor.py","_ai_trader",4
"s43_latest_refactor.py","AI_TRADER_ENABLE",1
"s43_latest_refactor.py","AITrader",1
"s43_latest_refactor.py","autonomous_ai",14
"s43_latest_refactor.py","drawdown",9
"s43_latest_refactor.py","gate",43
"s43_latest_refactor.py","kill",4
"s43_latest_refactor.py","OPENAI_TRADE_ALLOW_ND",1
"s43_latest_refactor.py","OPENAI_TRADE_ENABLE",1
"s43_latest_refactor.py","risk",223
"s43_latest_refactor.py","safety",12
"SAFETY_GATE_MAPPING_PASS1.txt","_ai_trader",33
"SAFETY_GATE_MAPPING_PASS1.txt","AI_TRADER_ENABLE",4
"SAFETY_GATE_MAPPING_PASS1.txt","AITrader",4
"SAFETY_GATE_MAPPING_PASS1.txt","autonomous_ai",56
"SAFETY_GATE_MAPPING_PASS1.txt","drawdown",7
"SAFETY_GATE_MAPPING_PASS1.txt","gate",106
"SAFETY_GATE_MAPPING_PASS1.txt","kill",14
"SAFETY_GATE_MAPPING_PASS1.txt","OPENAI_TRADE_ALLOW_ND",13
"SAFETY_GATE_MAPPING_PASS1.txt","OPENAI_TRADE_ENABLE",13
"SAFETY_GATE_MAPPING_PASS1.txt","risk",425
"SAFETY_GATE_MAPPING_PASS1.txt","safety",15
"SAFETY_PROTOCOL.md","_ai_trader",4
"SAFETY_PROTOCOL.md","autonomous_ai",8
"SAFETY_PROTOCOL.md","gate",6
"SAFETY_PROTOCOL.md","kill",4
"SAFETY_PROTOCOL.md","OPENAI_TRADE_ALLOW_ND",4
"SAFETY_PROTOCOL.md","OPENAI_TRADE_ENABLE",4
"SAFETY_PROTOCOL.md","risk",10
"SAFETY_PROTOCOL.md","safety",7
"SAFETY_PROTOCOL_FINAL_VERIFY_20260608_175301.txt","gate",2
"SAFETY_PROTOCOL_FINAL_VERIFY_20260608_175301.txt","risk",1
"SAFETY_PROTOCOL_FINAL_VERIFY_20260608_175301.txt","safety",6
