"Token","AuthorityTier","RelativePath","LineNumber","Line"
"CONTROLLED_BLOCKED","GOVERNANCE_DOC","docs\governance\FINAL-COORDINATION-OPTION-A-CONTROLLED-BLOCKED.md","13","- control_state: CONTROLLED_BLOCKED"
"CONTROLLED_BLOCKED","GOVERNANCE_DOC","docs\governance\FINAL-COORDINATION-OPTION-A-CONTROLLED-BLOCKED.md","52","- Repository remains CONTROLLED_BLOCKED."
"CONTROLLED_BLOCKED","GOVERNANCE_DOC","docs\governance\HANDOFF-OPTION-A-STATE-20260728-053728.md","12","- control_state: CONTROLLED_BLOCKED"
"CONTROLLED_BLOCKED","GOVERNANCE_DOC","docs\governance\PR-UPDATE-OPTION-A-CONTROLLED-BLOCKED.md","15","- Repository remains in CONTROLLED_BLOCKED state."
"CONTROLLED_BLOCKED","GOVERNANCE_DOC","docs\governance\PR-UPDATE-OPTION-A-CONTROLLED-BLOCKED.md","23","- control_state: CONTROLLED_BLOCKED"
"CONTROLLED_BLOCKED","SCRIPT_SUPPORT","scripts\collect-roadmap-runtime-evidence.ps1","121","$terms = @(""HOLD"",""HOLD_ACTIVE"",""CONTROLLED_BLOCKED"",""CONTRACT_MISMATCH"",""BLOCKED"",""forbidden_actions"",""allowed_actions"",""unblock"",""exit_criteria"",""stale"",""authority"",""shadow authority"",""NEXT_ACTION"",""STATUS_CLASSIFICATION"",""ROADMAP_CURRENT"",""COMMERCIAL_READINESS_STATE"")"
"CONTRACT_MISMATCH","GOVERNANCE_DOC","docs\governance\FINAL-COORDINATION-OPTION-A-CONTROLLED-BLOCKED.md","14","- blocking_factor: CONTRACT_MISMATCH"
"CONTRACT_MISMATCH","GOVERNANCE_DOC","docs\governance\FINAL-COORDINATION-OPTION-A-CONTROLLED-BLOCKED.md","43","- Functional continuation is blocked until CONTRACT_MISMATCH is resolved and governance authorization is renewed."
"CONTRACT_MISMATCH","GOVERNANCE_DOC","docs\governance\FINAL-COORDINATION-OPTION-A-CONTROLLED-BLOCKED.md","53","- Blocking condition remains CONTRACT_MISMATCH."
"CONTRACT_MISMATCH","GOVERNANCE_DOC","docs\governance\HANDOFF-OPTION-A-STATE-20260728-053728.md","15","- block_reason: CONTRACT_MISMATCH"
"CONTRACT_MISMATCH","GOVERNANCE_DOC","docs\governance\PR-UPDATE-OPTION-A-CONTROLLED-BLOCKED.md","16","- Blocking condition remains CONTRACT_MISMATCH."
"CONTRACT_MISMATCH","GOVERNANCE_DOC","docs\governance\PR-UPDATE-OPTION-A-CONTROLLED-BLOCKED.md","24","- block_reason: CONTRACT_MISMATCH"
"CONTRACT_MISMATCH","SCRIPT_SUPPORT","scripts\collect-roadmap-runtime-evidence.ps1","121","$terms = @(""HOLD"",""HOLD_ACTIVE"",""CONTROLLED_BLOCKED"",""CONTRACT_MISMATCH"",""BLOCKED"",""forbidden_actions"",""allowed_actions"",""unblock"",""exit_criteria"",""stale"",""authority"",""shadow authority"",""NEXT_ACTION"",""STATUS_CLASSIFICATION"",""ROADMAP_CURRENT"",""COMMERCIAL_READINESS_STATE"")"
"ALLOWED_PHASE_STATUS","CORE_GUARD","scripts\roadmap_guard.py","53","ALLOWED_PHASE_STATUS = {"
